Months, PHX_Housing_Inventory
February 2012,5805
March 2012,5453
April 2012,5355
May 2012,5266
June 2012,5362
July 2012,5375
August 2012,5805
September 2012,5453
October 2012,5355
November 2012,5266
December 2012,5362
January 2013,5375
February 2013,5503
March 2013,5733
April 2013,5829
May 2013,5786
June 2013,5314
July 2013,5228
August 2013,5102	
September 2013,5117
October 2013,5003
November 2013,5111
December 2013,5252
January 2014,5324
February 2014,5630
March 2014,6157
April 2014,6667
May 2014,6713
June 2014,6475	
July 2014,7114
August 2014,7464
September 2014,7471	
October 2014,7226
November 2014,6753
December 2014,6752
January 2015,6893
February 2015,6774
March 2015,6690
April 2015,6717
May 2015,6565
June 2015,5973
July 2015,6384
August 2015,6379
September 2015,6234
October 2015,6179
November 2015,6037
December 2015,5832
January 2016,5770
February 2016,5729
March 2016,5944
April 2016,6084
May 2016,6010
June 2016,5509
July 2016,6008
August 2016,6305
September 2016,6499
October 2016,6708
November 2016,6539
December 2016,6399
January 2017,6234
February 2017,6117
March 2017,6191
April 2017,6245
May 2017,6095
June 2017,5512
July 2017,5813
August 2017,5985
September 2017,6204
October 2017,6261
November 2017,5985
December 2017,5913
January 2018,5834
February 2018,5716
March 2018,5809
April 2018,5825
May 2018,5609
June 2018,5009
July 2018,5367
August 2018,5471
September 2018,5632
October 2018,5608
November 2018,5588	
December 2018,5690	
January 2019,5465	
February 2019,5503
March 2019,5562
April 2019,5715	
May 2019,5740
June 2019,5347	
July 2019,5949	
August 2019,6092	
September 2019,6183	
October 2019,5936	
November 2019,5710
December 2019,5269	
January 2020,4846	
February 2020,4622	
March 2020,4589
April 2020,4629	
May 2020,4329
June 2020,3621	
July 2020,3703
August 2020,3632	
September 2020,4334	
October 2020,4473	
November 2020,4236	
December 2020,3693	
January 2021,3395	
February 2021,3542	
March 2021,3693	
April 2021,3863	
May 2021,3513	
June 2021,2748
July 2021,2575	
August 2021,2519	
September 2021,2514	
October 2021,2812	
November 2021,2811	
December 2021,2992	
January 2022,3231	
February 2022,3181	
March 2022,3238
April 2022,3263
May 2022,2903	
June 2022,2349	
July 2022,2283

